Time (sec)	¥ÄZ/Z0 (%)	¥ÄZ/Z0 (%) with a smoothing filter
54.617	0.0845	-0.4331
54.717	0.08094	-0.43247
54.816	0.07604	-0.43184
54.915	0.07013	-0.43121
55.014	0.06287	-0.43058
55.114	0.05562	-0.42995
55.213	0.04859	-0.42932
55.312	0.04196	-0.42869
55.412	0.03523	-0.42806
55.511	0.02915	-0.42743
55.61	0.02287	-0.4268
55.71	0.01657	-0.42618
55.809	0.01165	-0.42555
55.908	0.00683	-0.42492
56.007	0.00324	-0.42429
56.107	3.46E-04	-0.42366
56.206	-0.00192	-0.42304
56.305	-0.00361	-0.42241
56.405	-0.00539	-0.42178
56.504	-0.00881	-0.42115
56.603	-0.01353	-0.42053
56.703	-0.01947	-0.4199
56.802	-0.0261	-0.41927
56.901	-0.03228	-0.41865
57	-0.03852	-0.41802
57.1	-0.04523	-0.4174
57.199	-0.05284	-0.41677
57.298	-0.06074	-0.41614
57.398	-0.06936	-0.41552
57.497	-0.07789	-0.41489
57.596	-0.08624	-0.41427
57.696	-0.09476	-0.41364
57.795	-0.10328	-0.41302
57.894	-0.11244	-0.41239
57.994	-0.12266	-0.41177
58.093	-0.1332	-0.41115
58.192	-0.14425	-0.41052
58.291	-0.15446	-0.4099
58.391	-0.16383	-0.40927
58.49	-0.17316	-0.40865
58.589	-0.18189	-0.40803
58.689	-0.19084	-0.4074
58.788	-0.20011	-0.40678
58.887	-0.20909	-0.40616
58.987	-0.21815	-0.40553
59.086	-0.2271	-0.40491
59.185	-0.23563	-0.40429
59.284	-0.24465	-0.40367
59.384	-0.25531	-0.40305
59.483	-0.26703	-0.40242
59.582	-0.27937	-0.4018
59.682	-0.29215	-0.40118
59.781	-0.30336	-0.40056
59.88	-0.31337	-0.39994
59.98	-0.32345	-0.39932
60.079	-0.33295	-0.3987
60.178	-0.34235	-0.39807
60.277	-0.35185	-0.39745
60.377	-0.36133	-0.39683
60.476	-0.37065	-0.39621
60.575	-0.38042	-0.39559
60.675	-0.39074	-0.39497
60.774	-0.40175	-0.39435
60.873	-0.41355	-0.39373
60.973	-0.42606	-0.39311
61.072	-0.44011	-0.39249
61.171	-0.46383	-0.39188
61.271	-0.48768	-0.39126
61.37	-0.51108	-0.39064
61.469	-0.53342	-0.39002
61.568	-0.55509	-0.3894
61.668	-0.5769	-0.38878
61.767	-0.59892	-0.38816
61.866	-0.62163	-0.38755
61.966	-0.64406	-0.38693
62.065	-0.66599	-0.38631
62.164	-0.68722	-0.38569
62.264	-0.7076	-0.38508
62.363	-0.72749	-0.38446
62.462	-0.74722	-0.38384
62.561	-0.76663	-0.38323
62.661	-0.7857	-0.38261
62.76	-0.80453	-0.38199
62.859	-0.82164	-0.38138
62.959	-0.83794	-0.38076
63.058	-0.85268	-0.38014
63.157	-0.86651	-0.37953
63.257	-0.88079	-0.37891
63.356	-0.89475	-0.3783
63.455	-0.90889	-0.37768
63.554	-0.9218	-0.37707
63.654	-0.9318	-0.37645
63.753	-0.93986	-0.37584
63.852	-0.9455	-0.37522
63.952	-0.94968	-0.37461
64.051	-0.95326	-0.374
64.15	-0.95495	-0.37338
64.25	-0.95655	-0.37277
64.349	-0.95755	-0.37215
64.448	-0.95795	-0.37154
64.548	-0.95855	-0.37093
64.647	-0.95816	-0.37031
64.746	-0.95759	-0.3697
64.845	-0.95693	-0.36909
64.945	-0.95582	-0.36847
65.044	-0.95375	-0.36786
65.143	-0.95012	-0.36725
65.243	-0.94613	-0.36664
65.342	-0.94183	-0.36603
65.441	-0.93797	-0.36541
65.541	-0.93473	-0.3648
65.64	-0.93138	-0.36419
65.739	-0.92781	-0.36358
65.838	-0.92425	-0.36297
65.938	-0.92019	-0.36236
66.037	-0.91537	-0.36175
66.136	-0.91083	-0.36114
66.236	-0.90617	-0.36052
66.335	-0.90173	-0.35991
66.434	-0.89728	-0.3593
66.534	-0.89333	-0.35869
66.633	-0.88873	-0.35808
